"","SITE","SOIL","Ece","EC","Cle","pHe","pH.1.5","OM","OC","Nt","P","P2O5","M","SP","M.SP"
"MSHM16523","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16524","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16525","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16526","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16527","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16528","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16529","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16530","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16531","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16532","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16533","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16534","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16535","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16536","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16537","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16538","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16539","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16540","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16541","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16542","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16543","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16544","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16545","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16546","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16547","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16548","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16549","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16550","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16551","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16552","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16553","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16554","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16555","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16556","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16557","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16558","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16559","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16560","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16561","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16562","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16563","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16564","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16565","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16566","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16567","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16568","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16569","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16570","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16571","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16572","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16573","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16574","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16575","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16576","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16577","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16578","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16579","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16580","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16581","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16582","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16583","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16584","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16585","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16586","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16587","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16588","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16589","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16590","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16591","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16592","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16593","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16594","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16595","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16596","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16597","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16598","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16599","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16600","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16601","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16602","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16603","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16604","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16605","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16606","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16607","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16608","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16609","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16610","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16611","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16612","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16613","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16614","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16615","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16616","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16617","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16618","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16619","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16620","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16621","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16622","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16623","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16624","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16625","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16626","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16627","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16628","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16629","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16630","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16631","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16632","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16633","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16634","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16635","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16636","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16637","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16638","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16639","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16640","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16641","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16642","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16643","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16644","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16645","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16646","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16647","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16648","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16649","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16650","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16651","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16652","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16653","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16654","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16655","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16656","Haj Ali Gholi","Saline Soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16657","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16658","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16659","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16660","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16661","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16662","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16663","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16664","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16665","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16666","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16667","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16668","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16669","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16670","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16671","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16672","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16673","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16674","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16675","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16676","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16677","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16678","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16679","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16680","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16681","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16682","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16683","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16684","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16685","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16686","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16687","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16688","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16689","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16690","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16691","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16692","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16693","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16694","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16695","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16696","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16697","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16698","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16699","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16700","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16701","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16702","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16703","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16704","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16705","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16706","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16707","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
"MSHM16708","Haj Ali Gholi","Arid soil",88.3,9.49,44000,7.7,7.9,0.51,0.3,0.043,6.17,14.3,3,24.7,0.12
