Sample ID ,Eurotiales,Diaporthales,Ophiostomatales,Boletales ,Amphisphaeriales,Saccharomycetales,Hypocreales,Pleosporales,Xylariales,Sordariales,Unknown
MSHM225,0,0,0,0,0,0,0,0,0,0,0
MSHM226,0,0,0,0,0,0,0,0,0,0,0
MSHM227,0,0,0,0,0,0,0,0,0,0,0
MSHM228,0,0,0,0,0,0,0,0,0,0,0
MSHM229,0,0,0,0,0,0,0,0,0,0,0
MSHM230,0,0,0,0,0,0,0,0,0,0,0
MSHM231,0,0,0,0,0,0,0,0,0,0,0
MSHM232,0,0,0,0,0,0,0,0,0,0,0
MSHM233,0,0,0,0,0,0,0,0,0,0,0
MSHM234,0,0,0,0,0,0,0,0,0,0,0
MSHM235,0,0,0,0,0,0,0,0,0,0,0
MSHM236,0,0,0,0,0,0,0,0,0,0,0
MSHM237,0,0,0,0,0,0,0,0,0,0,0
MSHM238,0,0,0,0,0,0,0,0,0,0,0
MSHM239,0,0,0,0,0,0,0,0,0,0,0
MSHM240,0,0,0,0,0,0,0,0,0,0,0
MSHM241,0,0,0,0,0,0,0,0,0,0,0
MSHM242,0,0,0,0,0,0,0,0,0,0,0
MSHM243,0,0,0,0,0,0,0,0,0,0,0
MSHM244,0,0,0,0,0,0,0,0,0,0,0
MSHM245,0,0,0,0,0,0,0,0,0,0,0
MSHM246,0,0,0,0,0,0,0,0,0,0,0
MSHM247,0,0,0,0,0,0,0,0,0,0,0
MSHM248,0,0,0,0,0,0,0,0,0,0,0
MSHM249,0,0,0,0,0,0,0,0,0,0,0
MSHM250,0,0,0,0,0,0,0,0,0,0,0
MSHM251,0,0,0,0,0,0,0,0,0,0,0
MSHM252,0,0,0,0,0,0,0,0,0,0,0
MSHM253,0,0,0,0,0,0,0,0,0,0,0
MSHM254,0,0,0,0,0,0,0,0,0,0,0
MSHM255,0,0,0,0,0,0,0,0,0,0,0
MSHM256,0,0,0,0,0,0,0,0,0,0,0
MSHM257,0,0,0,0,0,0,0,0,0,0,0
MSHM258,0,0,0,0,0,0,0,0,0,0,0
MSHM259,0,0,0,0,0,0,0,0,0,0,0
MSHM260,0,0,0,0,0,0,0,0,0,0,0
MSHM261,0,0,0,0,0,0,0,0,0,0,0
MSHM262,0,0,0,0,0,0,0,0,0,0,0
MSHM263,0,0,0,0,0,0,0,0,0,0,0
MSHM264,0,0,0,0,0,0,0,0,0,0,0
MSHM265,0,0,0,0,0,0,0,0,0,0,0
MSHM266,0,0,0,0,0,0,0,0,0,0,0
MSHM267,0,0,0,0,0,0,0,0,0,0,0
MSHM268,0,0,0,0,0,0,0,0,0,0,0
MSHM269,0,0,0,0,0,0,0,0,0,0,0
MSHM270,0,0,0,0,0,0,0,0,0,0,0
MSHM271,0,0,0,0,0,0,0,0,0,0,0
MSHM272,0,0,0,0,0,0,0,0,0,0,0
MSHM273,0,0,0,0,0,0,0,0,0,0,0
MSHM274,0,0,0,0,0,0,0,0,0,0,0
MSHM275,0,0,0,0,0,0,0,0,0,0,0
MSHM276,0,0,0,0,0,0,0,0,0,0,0
MSHM277,0,0,0,0,0,0,0,0,0,0,0
MSHM278,0,0,0,0,0,0,0,0,0,0,0
MSHM279,0,0,0,0,0,0,0,0,0,0,0
MSHM280,0,0,0,0,0,0,0,0,0,0,0
MSHM281,0,0,0,0,0,0,0,0,0,0,0
MSHM282,0,0,0,0,0,0,0,0,0,0,0
MSHM283,0,0,0,0,0,0,0,0,0,0,0
MSHM284,0,0,0,0,0,0,0,0,0,0,0
MSHM285,0,0,0,0,0,0,0,0,0,0,0
MSHM286,0,0,0,0,0,0,0,0,0,0,0
MSHM287,0,0,0,0,0,0,0,0,0,0,0
MSHM288,0,0,0,0,0,0,0,0,0,0,0
MSHM289,0,0,0,0,0,0,0,0,0,0,0
MSHM290,0,0,0,0,0,0,0,0,0,0,0
MSHM291,0,0,0,0,0,0,0,0,0,0,0
MSHM292,0,0,0,0,0,0,0,0,0,0,0
MSHM293,0,0,0,0,0,0,0,0,0,0,0
MSHM294,0,0,0,0,0,0,0,0,0,0,0
MSHM295,0,0,0,0,0,0,0,0,0,0,0
MSHM296,0,0,0,0,0,0,0,0,0,0,0
MSHM297,0,0,0,0,0,0,0,0,0,0,0
MSHM298,0,0,0,0,0,0,0,0,0,0,0
MSHM299,0,0,0,0,0,0,0,0,0,0,0
MSHM300,0,0,0,0,0,0,0,0,0,0,0
MSHM301,0,0,0,0,0,0,0,0,0,0,0
MSHM302,0,0,0,0,0,0,0,0,0,0,0
MSHM303,0,0,0,0,0,0,0,0,0,0,0
MSHM304,0,0,0,0,0,0,0,0,0,0,0
MSHM305,0,0,0,0,0,0,0,0,0,0,0
MSHM306,0,0,0,0,0,0,0,0,0,0,0
MSHM307,0,0,0,0,0,0,0,0,0,0,0
MSHM308,0,0,0,0,0,0,0,0,0,0,0
MSHM309,0,0,0,0,0,0,0,0,0,0,0
MSHM310,0,0,0,0,0,0,0,0,0,0,0
MSHM311,0,0,0,0,0,0,0,0,0,0,0
MSHM312,0,0,0,0,0,0,0,0,0,0,0
MSHM313,0,0,0,0,0,0,0,0,0,0,0
MSHM314,0,0,0,0,0,0,0,0,0,0,0
MSHM315,0,0,0,0,0,0,0,0,0,0,0
MSHM316,0,0,0,0,0,0,0,0,0,0,0
MSHM317,0,0,0,0,0,0,0,0,0,0,0
MSHM318,0,0,0,0,0,0,0,0,0,0,0
MSHM319,0,0,0,0,0,0,0,0,0,0,0
MSHM320,0,0,0,0,0,0,0,0,0,0,0
MSHM321,0,0,0,0,0,0,0,0,0,0,0
MSHM322,0,0,0,0,0,0,0,0,0,0,0
MSHM323,0,0,0,0,0,0,0,0,0,0,0
MSHM324,0,0,0,0,0,0,0,0,0,0,0
MSHM325,0,0,0,0,0,0,0,0,0,0,0
MSHM326,0,0,0,0,0,0,0,0,0,0,0
MSHM327,0,0,0,0,0,0,0,0,0,0,0
MSHM328,0,0,0,0,0,0,0,0,0,0,0
MSHM329,0,0,0,0,0,0,0,0,0,0,0
MSHM330,0,0,0,0,0,0,0,0,0,0,0
MSHM331,0,0,0,0,0,0,0,0,0,0,0
MSHM332,0,0,0,0,0,0,0,0,0,0,0
MSHM333,0,0,0,0,0,0,0,0,0,0,0
MSHM334,0,0,0,0,0,0,0,0,0,0,0
MSHM335,0,0,0,0,0,0,0,0,0,0,0
MSHM336,0,0,0,0,0,0,0,0,0,0,0
MSHM337,0,0,0,0,0,0,0,0,0,0,0
MSHM338,0,0,0,0,0,0,0,0,0,0,0
MSHM339,0,0,0,0,0,0,0,0,0,0,0
MSHM340,0,0,0,0,0,0,0,0,0,0,0
MSHM341,0,0,0,0,0,0,0,0,0,0,0
MSHM342,0,0,0,0,0,0,0,0,0,0,0
MSHM343,0,0,0,0,0,0,0,0,0,0,0
MSHM344,0,0,0,0,0,0,0,0,0,0,0
MSHM345,0,0,0,0,0,0,0,0,0,0,0
MSHM346,0,0,0,0,0,0,0,0,0,0,0
MSHM347,0,0,0,0,0,0,0,0,0,0,0
MSHM348,0,0,0,0,0,0,0,0,0,0,0
MSHM349,0,0,0,0,0,0,0,0,0,0,0
MSHM350,0,0,0,0,0,0,0,0,0,0,0
MSHM351,0,0,0,0,0,0,0,0,0,0,0
MSHM352,0,0,0,0,0,0,0,0,0,0,0
MSHM353,0,0,0,0,0,0,0,0,0,0,0
MSHM354,0,0,0,0,0,0,0,0,0,0,0
MSHM355,0,0,0,0,0,0,0,0,0,0,0
MSHM356,0,0,0,0,0,0,0,0,0,0,0
MSHM357,0,0,0,0,0,0,0,0,0,0,0
MSHM358,0,0,0,0,0,0,0,0,0,0,0
MSHM359,0,0,0,0,0,0,0,0,0,0,0
MSHM360,0,0,0,0,0,0,0,0,0,0,0
MSHM361,0,0,0,0,0,0,0,0,0,0,0
MSHM362,0,0,0,0,0,0,0,0,0,0,0
MSHM363,0,0,0,0,0,0,0,0,0,0,0
MSHM364,0,0,0,0,0,0,0,0,0,0,0
MSHM365,0,0,0,0,0,0,0,0,0,0,0
MSHM366,0,0,0,0,0,0,0,0,0,0,0
MSHM367,0,0,0,0,0,0,0,0,0,0,0
MSHM368,0,0,0,0,0,0,0,0,0,0,0
MSHM369,0,0,0,0,0,0,0,0,0,0,0
MSHM370,0,0,0,0,0,0,0,0,0,0,0
MSHM371,0,0,0,0,0,0,0,0,0,0,0
MSHM372,0,0,0,0,0,0,0,0,0,0,0
MSHM373,0,0,0,0,0,0,0,0,0,0,0
MSHM374,0,0,0,0,0,0,0,0,0,0,0
MSHM375,0,0,0,0,0,0,0,0,0,0,0
MSHM376,0,0,0,0,0,0,0,0,0,0,0
MSHM377,0,0,0,0,0,0,0,0,0,0,0
MSHM378,0,0,0,0,0,0,0,0,0,0,0
MSHM379,0,0,0,0,0,0,0,0,0,0,0
MSHM380,0,0,0,0,0,0,0,0,0,0,0
MSHM381,0,0,0,0,0,0,0,0,0,0,0
MSHM382,0,0,0,0,0,0,0,0,0,0,0
MSHM383,0,0,0,0,0,0,0,0,0,0,0
MSHM384,0,0,0,0,0,0,0,0,0,0,0
MSHM385,0,0,0,0,0,0,0,0,0,0,0
MSHM386,0,0,0,0,0,0,0,0,0,0,0
MSHM387,0,0,0,0,0,0,0,0,0,0,0
MSHM388,0,0,0,0,0,0,0,0,0,0,0
MSHM389,0,0,0,0,0,0,0,0,0,0,0
MSHM390,0,0,0,0,0,0,0,0,0,0,0
MSHM391,0,0,0,0,0,0,0,0,0,0,0
MSHM392,0,0,0,0,0,0,0,0,0,0,0
MSHM393,0,0,0,0,0,0,0,0,0,0,0
MSHM394,0,0,0,0,0,0,0,0,0,0,0
MSHM395,0,0,0,0,0,0,0,0,0,0,0
MSHM396,0,0,0,0,0,0,0,0,0,0,0
MSHM397,0,0,0,0,0,0,0,0,0,0,0
MSHM398,0,0,0,0,0,0,0,0,0,0,0
MSHM399,0,0,0,0,0,0,0,0,0,0,0
MSHM400,0,0,0,0,0,0,0,0,0,0,0
MSHM401,0,0,0,0,0,0,0,0,0,0,0
MSHM402,0,0,0,0,0,0,0,0,0,0,0
MSHM403,0,0,0,0,0,0,0,0,0,0,0
MSHM404,0,0,0,0,0,0,0,0,0,0,0
MSHM405,0,0,0,0,0,0,0,0,0,0,0
MSHM406,0,0,0,0,0,0,0,0,0,0,0
MSHM407,0,0,0,0,0,0,0,0,0,0,0
MSHM408,0,0,0,0,0,0,0,0,0,0,0
MSHM409,0,0,0,0,0,0,0,0,0,0,0
MSHM410,0,0,0,0,0,0,0,0,0,0,0
MSHM411,0,0,0,0,0,0,0,0,0,0,0
MSHM412,0,0,0,0,0,0,0,0,0,0,0
MSHM413,0,0,0,0,0,0,0,0,0,0,0
MSHM414,0,0,0,0,0,0,0,0,0,0,0
MSHM415,0,0,0,0,0,0,0,0,0,0,0
MSHM416,0,0,0,0,0,0,0,0,0,0,0
MSHM417,0,0,0,0,0,0,0,0,0,0,0
MSHM418,0,0,0,0,0,0,0,0,0,0,0
MSHM419,0,0,0,0,0,0,0,0,0,0,0
MSHM420,0,0,0,0,0,0,0,0,0,0,0
MSHM421,0,0,0,0,0,0,0,0,0,0,0
MSHM422,0,0,0,0,0,0,0,0,0,0,0
MSHM423,0,0,0,0,0,0,0,0,0,0,0
MSHM424,0,0,0,0,0,0,0,0,0,0,0
MSHM425,0,0,0,0,0,0,0,0,0,0,0
MSHM426,0,0,0,0,0,0,0,0,0,0,0
MSHM427,0,0,0,0,0,0,0,0,0,0,0
MSHM428,0,0,0,0,0,0,0,0,0,0,0
MSHM429,0,0,0,0,0,0,0,0,0,0,0
MSHM430,0,0,0,0,0,0,0,0,0,0,0
MSHM431,0,0,0,0,0,0,0,0,0,0,0
MSHM432,0,0,0,0,0,0,0,0,0,0,0
MSHM433,0,0,0,0,0,0,0,0,0,0,0
MSHM434,0,0,0,0,0,0,0,0,0,0,0
MSHM435,0,0,0,0,0,0,0,0,0,0,0
MSHM436,0,0,0,0,0,0,0,0,0,0,0
MSHM437,0,0,0,0,0,0,0,0,0,0,0
MSHM438,0,0,0,0,0,0,0,0,0,0,0
MSHM439,0,0,0,0,0,0,0,0,0,0,0
MSHM440,0,0,0,0,0,0,0,0,0,0,0
MSHM441,0,0,0,0,0,0,0,0,0,0,0
MSHM442,0,0,0,0,0,0,0,0,0,0,0
MSHM443,0,0,0,0,0,0,0,0,0,0,0
MSHM444,0,0,0,0,0,0,0,0,0,0,0
MSHM445,0,0,0,0,0,0,0,0,0,0,0
MSHM446,0,0,0,0,0,0,0,0,0,0,0
MSHM447,0,0,0,0,0,0,0,0,0,0,0
MSHM448,0,0,0,0,0,0,0,0,0,0,0
MSHM449,0,0,0,0,0,0,0,0,0,0,0
MSHM450,0,0,0,0,0,0,0,0,0,0,0
MSHM451,0,0,0,0,0,0,0,0,0,0,0
MSHM452,0,0,0,0,0,0,0,0,0,0,0
MSHM453,0,0,0,0,0,0,0,0,0,0,0
MSHM454,0,0,0,0,0,0,0,0,0,0,0
MSHM455,0,0,0,0,0,0,0,0,0,0,0
MSHM456,0,0,0,0,0,0,0,0,0,0,0
MSHM457,0,0,0,0,0,0,0,0,0,0,0
MSHM458,0,0,0,0,0,0,0,0,0,0,0
MSHM459,0,0,0,0,0,0,0,0,0,0,0
MSHM460,0,0,0,0,0,0,0,0,0,0,0
MSHM461,0,0,0,0,0,0,0,0,0,0,0
MSHM462,0,0,0,0,0,0,0,0,0,0,0
MSHM463,0,0,0,0,0,0,0,0,0,0,0
MSHM464,0,0,0,0,0,0,0,0,0,0,0
MSHM465,0,0,0,0,0,0,0,0,0,0,0
MSHM466,0,0,0,0,0,0,0,0,0,0,0
MSHM467,0,0,0,0,0,0,0,0,0,0,0
MSHM468,0,0,0,0,0,0,0,0,0,0,0
MSHM469,0,0,0,0,0,0,0,0,0,0,0
MSHM470,0,0,0,0,0,0,0,0,0,0,0
MSHM471,0,0,0,0,0,0,0,0,0,0,0
MSHM472,0,0,0,0,0,0,0,0,0,0,0
MSHM473,0,0,0,0,0,0,0,0,0,0,0
MSHM474,0,0,0,0,0,0,0,0,0,0,0
MSHM475,0,0,0,0,0,0,0,0,0,0,0
MSHM476,0,0,0,0,0,0,0,0,0,0,0
MSHM477,0,0,0,0,0,0,0,0,0,0,0
MSHM478,0,0,0,0,0,0,0,0,0,0,0
MSHM479,0,0,0,0,0,0,0,0,0,0,0
MSHM480,0,0,0,0,0,0,0,0,0,0,0
MSHM481,0,0,0,0,0,0,0,0,0,0,0
MSHM482,0,0,0,0,0,0,0,0,0,0,0
MSHM483,0,0,0,0,0,0,0,0,0,0,0
MSHM484,0,0,0,0,0,0,0,0,0,0,0
